titre,prix,disponibilite,note,upc,url_image,categorie
The Mysterious Affair at Styles (Hercule Poirot #1),Â£24.80,In stock (6 available),4,2da5edf8b5776c9a,https://books.toscrape.com/../../media/cache/6b/61/6b61d393f0731f6c52182ba3cf41e245.jpg,mystery
In the Woods (Dublin Murder Squad #1),Â£38.38,In stock (6 available),2,6958de044cb28a84,https://books.toscrape.com/../../media/cache/13/47/13470484ded8c835ce03b662fc863a1a.jpg,mystery
The Silkworm (Cormoran Strike #2),Â£23.05,In stock (3 available),5,f06039c29b5891fa,https://books.toscrape.com/../../media/cache/fa/d2/fad227281b25d606782218a33323991b.jpg,mystery
The Exiled,Â£43.45,In stock (3 available),3,dd003e904727281a,https://books.toscrape.com/../../media/cache/dd/29/dd29147b962e4480491cac5bce41e4e4.jpg,mystery
The Cuckoo's Calling (Cormoran Strike #1),Â£19.21,In stock (3 available),1,1be6d3b121865edb,https://books.toscrape.com/../../media/cache/72/ec/72ec24f082aba608ca37bc3aeaf57317.jpg,mystery
Extreme Prey (Lucas Davenport #26),Â£25.40,In stock (3 available),3,588ba85ff11a3263,https://books.toscrape.com/../../media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg,mystery
Career of Evil (Cormoran Strike #3),Â£24.72,In stock (3 available),2,b461cf238506c5b8,https://books.toscrape.com/../../media/cache/40/f8/40f897ffbfda6e88e5763c157cfd0930.jpg,mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Â£57.70,In stock (1 available),4,b0913e67d38d5ed5,https://books.toscrape.com/../../media/cache/62/8c/628c0151226402726149c98549671250.jpg,mystery
The Girl You Lost,Â£12.29,In stock (1 available),5,4280ac3eab57aa5d,https://books.toscrape.com/../../media/cache/28/15/2815974db428ea019fc84e08af23095b.jpg,mystery
The Girl In The Ice (DCI Erika Foster #1),Â£15.85,In stock (1 available),3,ee61197edb882599,https://books.toscrape.com/../../media/cache/83/54/835421d17d99c89fd99d07e17806357b.jpg,mystery
Blood Defense (Samantha Brinkman #1),Â£20.30,In stock (1 available),3,95cdfd514098c38b,https://books.toscrape.com/../../media/cache/ea/12/ea12c82131832c5d772fdbd3cb56ced7.jpg,mystery
1st to Die (Women's Murder Club #1),Â£53.98,In stock (1 available),1,f684a82adc49f011,https://books.toscrape.com/../../media/cache/f6/8e/f68e6ae2f9da04fccbde8442b0a1b52a.jpg,mystery
